receipt_id,perspective_ids,source_title,source_type,source_date,source_url,source_section,claim_supported,evidence_note,coverage_level,policy_force,app_use,status
r001,official-launch-big-promises,Prime Minister Carney launches AI for All,official,2026-06-04,https://www.pm.gc.ca/en/news/news-releases/2026/06/04/prime-minister-carney-launches-ai-all-canadas-new-national-artificial,Launch release,"Supports national prosperity targets: $200B growth, 250000 jobs, 90000 youth opportunities, and 60% adoption by 2034.","Official launch target set; use exact figures with date.",Strong,"Funded; Directional","Homepage promise cards; Future Canadian",captured
r002,six-pillar-frame,Canada's National Artificial Intelligence Strategy: AI for All,official,2026-06-04,https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all,Strategy structure,"Supports the six-pillar structure used in the app.","Official structure: protection, empowerment, adoption, sovereign foundation, champions, partnerships.",Strong,Directional,"Pillar explainer; all persona pages",captured
r003,children-deepfakes-online-safety; privacy-surveillance-pricing,Canada's National Artificial Intelligence Strategy: AI for All,official,2026-06-04,https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all,Protecting Canadians and democracy,"Supports privacy, online safety, election protection, and AI disclosure as central strategy themes.","The strategy points to privacy modernization, online safety laws, election protection, and AI disclosure.",Strong,Open,"Concerned Canadian safety and privacy topics",captured
r004,trust-governance-gap; children-deepfakes-online-safety,"BetaKit: Canada's AI strategy promises to protect citizens, critics say it still lacks teeth",commentary,2026-06-04,https://betakit.com/canadas-ai-strategy-promises-to-protect-citizens-critics-say-it-still-lacks-teeth/,News analysis,"Supports critique that safety themes lack enforceable details now.","Critics argue future bills and voluntary codes do not yet equal hard protection.",Light,Open,"What critics say; trust topic",captured
r005,jobs-displacement-gap,Global News: Canada releases AI strategy,news,2026-06-04,https://globalnews.ca/news/11889388/canada-ai-strategy-release/,News report,"Supports gap around job-loss estimates and worker impact.","Report notes officials did not provide a clear job-loss estimate.",Light,Open,"Future Canadian; Student; Workplace",captured
r006,jobs-displacement-gap; creator-copyright-gap,Canadian Press: Quick quotes on Canada's AI strategy,news,2026-06-04,https://halifax.citynews.ca/2026/06/04/quick-quotes-how-business-labour-and-others-are-reacting-to-canadas-ai-strategy/,Reaction roundup,"Supports labour and copyright concerns from external stakeholders.","Reaction roundup includes labour concern, copyright absence concern, and ecosystem support.",Light,Open,"Critic sidebar; creator/workforce topics",captured
r007,youth-skills-study,Canada's National Artificial Intelligence Strategy: AI for All,official,2026-06-04,https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all,Ensuring AI empowers Canadians,"Supports AI literacy, students, educators, and workforce training commitments.","Strategy funds AI literacy, learning kits, educator support, and trusted AI agents.",Strong,"Funded; Directional","Student portal",captured
r008,sme-adoption-practical-help,Canada's National Artificial Intelligence Strategy: AI for All,official,2026-06-04,https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all,Accelerating AI adoption across SMEs,"Supports small-business adoption supports and barriers.","Strategy names SME barriers: cost, expertise, uncertainty; proposes BDC and regional supports.",Strong,Funded,"Small Business portal",captured
r009,local-delivery-layer,BC + AI: Aligning BC AI with Canada's AI strategy,community,2026-06-05,https://bc-ai.ca/news/aligning-bc-ai-canada-ai-strategy-trusted-local-adoption/,Community analysis,"Supports need for regional adoption capacity and practical governance help.","BC + AI argues trusted local adoption infrastructure is required.",Light,Open,"Implementation sidebar; SME/workplace",captured
r010,public-service-ai,Canada's National Artificial Intelligence Strategy: AI for All,official,2026-06-04,https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all,Government as anchor adopter,"Supports government as buyer/adopter of trusted Canadian AI.","Strategy says federal government can create demand and improve public services.",Strong,"Funded; Directional","Future Canadian; Workplace public-service topic",captured
r011,health-mission,Canada's National Artificial Intelligence Strategy: AI for All,official,2026-06-04,https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all,AI Missions Program,"Supports first mission focused on health outcomes.","Health mission includes diagnostics, patient care, administration, and system efficiency.",Strong,Funded,"Future Canadian health care topic",captured
r012,real-economy-sectors,Canada's National Artificial Intelligence Strategy: AI for All,official,2026-06-04,https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all,Priority sectors,"Supports non-office real economy examples: farming, mining, energy, manufacturing, transportation.","Strategy names priority sectors and examples beyond knowledge work.",Strong,Directional,"Future Canadian prosperity section",captured
r013,scale-canadian-champions,Canada's National Artificial Intelligence Strategy: AI for All,official,2026-06-04,https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all,Scaling Canadian champions,"Supports growth capital, procurement, compute, commercialization, and IP support.","Strategy frames Canadian champions as needing capital, customers, compute, and IP supports.",Strong,"Funded; Directional","AI Entrepreneur portal",captured
r014,government-as-stakeholder,BetaKit: Canada's AI strategy looks to shift government from startup supporter to stakeholder,commentary,2026-06-05,https://betakit.com/canadas-ai-strategy-looks-to-shift-government-from-startup-supporter-to-stakeholder/,News analysis,"Supports governance questions around public investment and equity/stakeholder role.","BetaKit frames government as moving from supporter to possible stakeholder/anchor customer.",Light,"Funded; Open","AI Entrepreneur; who benefits?",captured
r015,foreign-platform-sovereignty,AP: Canada AI strategy,news,2026-06-04,https://apnews.com/article/canada-carney-artificial-intelligence-d8dfba818b84ccf5947f941731829254,News report,"Supports concern about foreign AI platforms shaping Canadian data, firms, and public life.","AP emphasizes Carney's foreign platform warning and Canadian sovereignty frame.",Strong,Directional,"Sovereignty topic",captured
r016,sovereign-ai-for-whom,BC + AI: Sovereign AI for Whom?,community,2025-03-17,https://bc-ai.ca/news/sovereign-ai-for-whom/,Community analysis,"Supports critique that sovereignty must include public benefit, host-Nation governance, and local accountability.","Community view: sovereignty should not mean only domestic infrastructure for private incumbents.",Light,Open,"Future Canadian: who benefits?",captured
r017,data-centre-booster,TELUS: TELUS and Government of Canada advance sovereign AI infrastructure,industry,2026-06-04,https://www.telus.com/en/about/news-and-events/media-releases/TELUS-and-Government-of-Canada-advance-work-to-scale-Canadas-sovereign-AI-infrastructure,Industry release,"Supports booster case for sovereign compute cluster, renewable power, cooling, and economic value.","TELUS claims major GPU capacity, renewable power, cooling, and economic benefits.",Strong,"Funded; Directional","Infrastructure promise card",captured
r018,data-centre-skeptic,The Tyee: Questions about AI data centres in Vancouver,news,2026-05-25,https://thetyee.ca/News/2026/05/25/Questions-AI-Data-Centres-Vancouver/,News analysis,"Supports local questions about data-centre energy, water, heat, noise, and municipal authority.","The Tyee surfaces local environmental and governance questions.",Light,Open,"Infrastructure concern card",captured
r019,data-centre-skeptic,CityNews Vancouver: March against AI data centres,news,2026-05-23,https://vancouver.citynews.ca/2026/05/23/hundreds-march-downtown-vancouver-against-ai-data-centres/,News report,"Supports local community opposition and consent concerns.","Report covers public protest against AI data centres in Vancouver.",Light,Open,"Infrastructure concern card",captured
r020,data-centre-skeptic,BC Greens: Opposition to Nanaimo data centre,political,2026-05-23,https://bcgreens.ca/emily-lowan-supports-opposition-to-nanaimo-data-centre-continues-calls-for-moratorium-at-press-conference/,Party release,"Supports moratorium position and environmental/regulatory critique.","BC Greens call for moratorium until data-centre risks are regulated.",Light,Open,"Infrastructure critic receipt",captured
r021,creator-copyright-gap,Canada's National Artificial Intelligence Strategy: AI for All,official,2026-06-04,https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all,Canadian identity and culture,"Supports official creator/culture programs but also shows copyright detail gap.","Strategy funds Creative Technology Program but does not settle training-data rights.",Light,Open,"Creator/copyright gap",captured
r022,indigenous-data-governance,Canada's National Artificial Intelligence Strategy: AI for All,official,2026-06-04,https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all,Indigenous leadership in AI,"Supports Indigenous-led AI commitments.","Strategy promises Indigenous-led initiatives, data training standards, language models, and cultural heritage systems.",Light,"Funded; Directional","Indigenous governance cross-cutting topic",captured
r023,consultation-legitimacy,BetaKit: Canada's new AI strategy is off to a bad start,opinion,2026-05-30,https://betakit.com/canadas-new-ai-strategy-is-off-to-a-bad-start/,Opinion,"Supports critique of rushed consultation and opaque AI-assisted analysis.","Opinion questions consultation process, data handling, model use, and transparency.",Light,Open,"How strategy was made",captured
r024,consultation-legitimacy,Engagements on Canada's next AI Strategy: Summary of inputs,official,2026-02-05,https://ised-isde.canada.ca/site/ised/en/public-consultations/engagements-canadas-next-ai-strategy-summary-inputs,Use of AI in engagement analysis,"Supports official account of AI-assisted consultation analysis and human validation.","ISED says it used NLP and several LLMs, with human validation and methodology review.",Strong,Directional,"How strategy was made",captured
