comparison_id,persona_topic_ids,plain_question,canada_instrument,comparator_ids,comparison_frame,app_use,status
compare-trust-safety,"concerned-canadian:whats-real; concerned-canadian:deepfakes","Can I trust it?","Strategy plus safety institute funding plus future privacy/online-safety law","eu-ai-act; us-nist-rmf; australia-guardrails; g7-hiroshima-ai; china-genai-measures","Canada names trust and funds capacity. EU shows hard transparency duties; NIST/Australia show operational controls; G7 shows voluntary model-developer norms; China shows a much harder content-control contrast.","Concerned Canadian comparison panel",captured
compare-privacy-rights,"concerned-canadian:privacy; concerned-canadian:data-decisions","Who gets to use my personal data?","Strategy plus promised privacy reform","eu-ai-act; colorado-ai-act; oecd-ai-principles; us-nist-rmf","Canada's strategy is directional until privacy and AI accountability rules land. EU/Colorado show rights-and-obligation models; OECD/NIST show baseline principles and risk-management practice.","Concerned Canadian privacy and accountability topics",captured
compare-children-online-safety,concerned-canadian:children,"Will AI keep my child safe?","Strategy plus future online safety and privacy law","eu-ai-act; australia-guardrails; unesco-ai-ethics; china-genai-measures","Canada names children and online harms. EU/Australia give disclosure and guardrail comparators; UNESCO adds child rights and wellbeing; China is a contrast for strict service/content control.","Concerned Canadian child-safety topic",captured
compare-student-skills,"student:what-to-learn-first; student:trusted-ai-agents; student:jobs-placements","What should I study?","Strategy plus literacy funding and youth placements","singapore-nais-ai-verify; india-ai-mission; japan-business-guidelines; oecd-ai-principles","Canada funds broad AI literacy. Singapore and India are useful for national skills ecosystems; Japan shows business-facing AI competence; OECD gives a trustworthy AI literacy baseline.","Student portal",captured
compare-small-business-adoption,"small-business:where-to-start; small-business:can-i-afford-it; small-business:customer-trust","Can AI help my business?","Funded adoption programs plus future trust framework","singapore-nais-ai-verify; australia-guardrails; japan-business-guidelines; us-nist-rmf","Canada's strongest lane is funded adoption. Singapore/Australia/Japan/NIST show the missing practical layer: playbooks, guardrails, lifecycle governance, and risk documentation.","Small Business portal",captured
compare-open-source-choice,small-business:open-source-choice,"Can I avoid vendor lock-in?","Strategy support for open-source AI and sovereign infrastructure","singapore-nais-ai-verify; india-ai-mission; france-ai-strategy; oecd-ai-principles","Canada treats open source as resilience and choice. India and France help compare public compute/ecosystem support; Singapore shows governance tools; OECD keeps the trust baseline visible.","Small Business open-source topic",captured
compare-workplace-ai,"workplace-adopter:daily-work; workplace-adopter:will-ai-replace-me; workplace-adopter:accountable-workflows","How does my day-to-day work change?","Strategy plus skills/adoption language","eu-ai-act; nyc-aedt-law; colorado-ai-act; australia-guardrails; us-nist-rmf","Canada is directional for everyday workplace AI. EU, NYC, and Colorado show harder rules for employment/consequential decisions; Australia/NIST show operational workplace guardrails.","Workplace AI Adopter portal",captured
compare-public-sector-ai,"workplace-adopter:public-servant; future-canada:public-services","Will government AI make services better and fairer?","Strategy plus government-as-anchor-adopter promise","us-omb-public-sector; eu-ai-act; uk-pro-innovation; finland-auroraai; sweden-ai-strategy","Canada says government will adopt trusted Canadian AI. US OMB shows agency governance; EU shows hard high-risk duties; UK shows regulator-led oversight; Finland/Sweden show welfare-state public-service comparators.","Public service topics",captured
compare-founder-scale,"entrepreneur:compute-access; entrepreneur:capital-growth; entrepreneur:global-markets","How do I scale my innovation?","Strategy plus compute, capital, procurement, and partnerships","france-ai-strategy; singapore-nais-ai-verify; south-korea-basic-act; india-ai-mission; uk-pro-innovation","Canada's founder story is industrial strategy plus sovereignty. France/Korea/Singapore/India compare national champion and compute strategies; UK shows a lighter regulatory market-access model.","AI Entrepreneur portal",captured
compare-procurement-anchor,entrepreneur:government-customer,"Can government become my first serious customer?","Strategy plus procurement/anchor-customer promise","us-omb-public-sector; uk-pro-innovation; eu-ai-act; sweden-ai-strategy","Canada's procurement promise needs governance detail. US OMB and Sweden are public-sector comparators; UK shows sector-regulator logic; EU shows high-risk obligations for public-facing systems.","AI Entrepreneur procurement topic",captured
compare-ip-copyright,"entrepreneur:ip-and-data; creator:my-work-training; creator:tools-and-rights","Will value and creative rights stay protected?","Strategy plus IP supports and creative technology funding","eu-ai-act; france-ai-strategy; unesco-ai-ethics; oecd-ai-principles","Canada is stronger on IP/commercialization than on training-data rights. EU gives copyright transparency duties; France gives industrial/IP strategy; UNESCO/OECD add cultural and rights baselines.","Creator/IP cross-cutting topic",captured
compare-health-care,future-canada:health-care,"Will AI improve health care safely?","Funded AI mission in health","eu-ai-act; us-nist-rmf; us-omb-public-sector; norway-ai-strategy; unesco-ai-ethics","Canada funds health as first mission. EU shows high-risk obligations; NIST/OMB show operational risk governance; Norway/UNESCO add public-service and ethics comparators.","Future Canadian health topic",captured
compare-prosperity,"future-canada:big-promise; future-canada:jobs-wages; future-canada:real-economy","Will AI make Canada more prosperous for everyone?","National strategy with headline GDP, jobs, adoption, and mission targets","france-ai-strategy; singapore-nais-ai-verify; south-korea-basic-act; india-ai-mission; sweden-ai-strategy","Canada's promise mixes productivity, sovereignty, public benefit, and champions. France/Korea compare industrial ambition; Singapore/India compare execution and scale; Sweden keeps public-service and welfare-state outcomes in view.","Future Canadian prosperity topics",captured
compare-inclusion-culture,"future-canada:who-benefits; student:culture-language; creator:canadian-culture","Will AI reflect Canada's languages, cultures, and communities?","Strategy plus inclusion, culture, Indigenous-led AI, and literacy programs","unesco-ai-ethics; norway-ai-strategy; sweden-ai-strategy; oecd-ai-principles","Canada is explicit on bilingualism, accessibility, Indigenous-led AI, and culture. UNESCO/OECD provide rights baselines; Nordic strategies help compare language/public-service inclusion.","Inclusion/culture topics",captured
