"action_id","pillar","source_section","action_summary","primary_persona","mapped_personas","mapping_note","source_url","status"
"act-001","Pillar 1","Strengthen Canadian democracy, safety, and privacy in the AI era","Canada will modernize consumer privacy legislation to enshrine a fundamental right to privacy, safeguard children’s information from exploitation and harm, and strengthen people’s control over their personal data.","Concerned Canadian","Concerned Canadian; Future Canadian; Small Business Owner","Directly answers trust, data rights, and customer-data accountability questions.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20modernize%20consumer%20privacy%20legislation%20to%20enshrine%20a%20fundamental%20right%20to%20privacy%2C%20safeguard%20children%E2%80%99s%20information%20from%20exploitation%20and%20harm%2C%20and%20strengthen%20people%E2%80%99s%20control%20over%20their%20personal%20data.","captured"
"act-002","Pillar 1","Strengthen Canadian democracy, safety, and privacy in the AI era","Canada will introduce online safety laws to protect Canadians in the digital age, ensuring citizens, children, and customers are safeguarded.","Concerned Canadian","Concerned Canadian; Future Canadian; Small Business Owner","Maps to deepfake, child safety, and customer trust concerns.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20introduce%20online%20safety%20laws%20to%20protect%20Canadians%20in%20the%20digital%20age%2C%20ensuring%20citizens%2C%20children%2C%20and%20customers%20are%20safeguarded.","captured"
"act-003","Pillar 1","Strengthen Canadian democracy, safety, and privacy in the AI era","Canada will protect elections and democratic institutions from AI‑enabled misinformation and foreign interference.","Concerned Canadian","Concerned Canadian; Future Canadian","Primarily a public trust and democracy action.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20protect%20elections%20and%20democratic%20institutions%20from%20AI%E2%80%91enabled%20misinformation%20and%20foreign%20interference.","captured"
"act-004","Pillar 1","Strengthen Canadian democracy, safety, and privacy in the AI era","For the Government’s own use of personal information, the Government will continue its review of the Privacy Act to meets the needs of Canadians in the digital age. This will include considerations around transparency, privacy, and alignment with international standards.","Concerned Canadian","Concerned Canadian; Workplace AI Adopter; Future Canadian","Relevant to citizens and public servants using AI in government services.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=For%20the%20Government%E2%80%99s%20own%20use%20of%20personal%20information%2C%20the%20Government%20will%20continue%20its%20review%20of%20the%20Privacy%20Act%20to%20meets%20the%20needs%20of%20Canadians%20in%20the%20digital%20age.%20This%20will%20include%20considerations%20around%20transparency%2C%20privacy%2C%20and%20alignment%20with%20international%20standards.","captured"
"act-005","Pillar 1","Ensure Canadian AI infrastructure is safe and trustworthy","Canada will invest $50 million to expand the capabilities of the Canadian AI Safety Institute to track emerging AI risks, advance technical research, and to conduct transparent evaluations of AI models.","Concerned Canadian","Concerned Canadian; AI Entrepreneur; Future Canadian","Supports trust, safety evaluation, and credible Canadian AI products.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20invest%20%2450%20million%20to%20expand%20the%20capabilities%20of%20the%20Canadian%20AI%20Safety%20Institute%20to%20track%20emerging%20AI%20risks%2C%20advance%20technical%20research%2C%20and%20to%20conduct%20transparent%20evaluations%20of%20AI%20models.","captured"
"act-006","Pillar 1","Ensure Canadian AI infrastructure is safe and trustworthy","Canada will work on AI transparency, including capabilities like watermarking of AI-generated content, so Canadians can better understand when they are interacting with AI systems and AI-generated content.","Concerned Canadian","Concerned Canadian; Small Business Owner; Future Canadian","Directly maps to labels, synthetic media, and trustworthy customer disclosure.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20work%20on%20AI%20transparency%2C%20including%20capabilities%20like%20watermarking%20of%20AI-generated%20content%2C%20so%20Canadians%20can%20better%20understand%20when%20they%20are%20interacting%20with%20AI%20systems%20and%20AI-generated%20content.","captured"
"act-007","Pillar 1","Ensure Canadian AI infrastructure is safe and trustworthy","Canada will proactively work with frontier AI companies and international partners, leveraging our strengths in AI safety and cybersecurity, to ensure that Canadians and critical systems are protected from cyber and national security threats from advanced AI systems.","Other","Concerned Canadian; Future Canadian; Other","Important but mostly national-security and advanced-system governance rather than one persona's everyday workflow.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20proactively%20work%20with%20frontier%20AI%20companies%20and%20international%20partners%2C%20leveraging%20our%20strengths%20in%20AI%20safety%20and%20cybersecurity%2C%20to%20ensure%20that%20Canadians%20and%20critical%20systems%20are%20protected%20from%20cyber%20and%20national%20security%20threats%20from%20advanced%20AI%20systems.","captured"
"act-008","Pillar 1","Ensure Canadian AI infrastructure is safe and trustworthy","Canada will create a Canada Trusted AI Certification program to help Canadians identify trustworthy AI products in the marketplace.","Small Business Owner","Small Business Owner; Concerned Canadian; AI Entrepreneur; Future Canadian","Helps buyers, citizens, and vendors interpret trust signals.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20create%20a%20Canada%20Trusted%20AI%20Certification%20program%20to%20help%20Canadians%20identify%20trustworthy%20AI%20products%20in%20the%20marketplace.","captured"
"act-009","Pillar 1","Ensure Canadian AI infrastructure is safe and trustworthy","Canada will renew funding for the Standards Council of Canada’s AI Program to support our standardization ecosystem, shape global AI standards, and grow a robust AI quality assurance ecosystem. This work will enable standards-based AI testing, certification, interoperability, and global market access.","AI Entrepreneur","AI Entrepreneur; Small Business Owner; Workplace AI Adopter; Other","Most useful as market and implementation infrastructure; also informs workplace governance.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20renew%20funding%20for%20the%20Standards%20Council%20of%20Canada%E2%80%99s%20AI%20Program%20to%20support%20our%20standardization%20ecosystem%2C%20shape%20global%20AI%20standards%2C%20and%20grow%20a%20robust%20AI%20quality%20assurance%20ecosystem.%20This%20work%20will%20enable%20standards-based%20AI%20testing%2C%20certification%2C%20interoperability%2C%20and%20global%20market%20access.","captured"
"act-010","Pillar 1","Ensure Canadian AI infrastructure is safe and trustworthy","Canada will accelerate, in partnership with law enforcement and security and intelligence agencies, applied AI research, testing, and deployment of Canadian technologies for fraud and extortion prevention, cyber defence, threat detection, and data protection.","Concerned Canadian","Concerned Canadian; Future Canadian; Other","Citizen safety is the clearest fit, with a strong security-agency component.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20accelerate%2C%20in%20partnership%20with%20law%20enforcement%20and%20security%20and%20intelligence%20agencies%2C%20applied%20AI%20research%2C%20testing%2C%20and%20deployment%20of%20Canadian%20technologies%20for%20fraud%20and%20extortion%20prevention%2C%20cyber%20defence%2C%20threat%20detection%2C%20and%20data%20protection.","captured"
