id,theme,plain_question,primary_personas,pillars,coverage_level,policy_force,viewpoint_type,perspective_summary,source_ids,source_urls,app_use,next_step,status
official-launch-big-promises,Big national promise,Will AI make life better in Canada?,Future Canadian,"Powering AI adoption; Empowering Canadians; Scaling Canadian champions",Strong,"Funded; Directional",Official promise,"The federal launch frames AI for All as a national prosperity, jobs, health care, adoption, and sovereignty strategy, with targets around GDP growth, jobs, youth placements, and business adoption.",pm-launch,"https://www.pm.gc.ca/en/news/news-releases/2026/06/04/prime-minister-carney-launches-ai-all-canadas-new-national-artificial","Homepage overview; Future Canadian opening card","Turn targets into simple cards with receipts and dates.",captured
six-pillar-frame,Policy structure,What does the strategy actually cover?,All personas,"All six pillars",Strong,Directional,Official structure,"The official strategy organizes the policy through six pillars: protection, empowerment, adoption, sovereign foundation, champions, and partnerships.",can-strategy-pillar-1,"https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all","Policy map; footer pillar explainer","Create exhaustive pillar-to-question map.",captured
trust-governance-gap,Trust and enforcement,Can I trust it?,Concerned Canadian,"Protecting Canadians and safeguarding democracy",Strong,Open,Critique,"Commentators accept trust as central but argue trust needs operational machinery: audits, appeal paths, incident reporting, enforcement, public registries, procurement rules, and consequences.",betakit-lacks-teeth,"https://kriskrug.co/2026/06/04/canada-ai-for-all-strategy-skeptical-guide/ | https://betakit.com/canadas-ai-strategy-promises-to-protect-citizens-critics-say-it-still-lacks-teeth/","Concerned Canadian theme: Can I trust it?","Split into subquestions for audit, redress, disclosure, and enforcement.",captured
children-deepfakes-online-safety,Children and deepfakes,Will AI keep me and my daughter safe from deepfakes and harmful chatbots?,Concerned Canadian,"Protecting Canadians and safeguarding democracy",Light,Open,Critique,"The strategy promises future privacy and online safety laws, but critics say child-specific risk assessments, AI companion rules, audits, and standards are not yet concrete.",betakit-lacks-teeth,"https://betakit.com/canadas-ai-strategy-promises-to-protect-citizens-critics-say-it-still-lacks-teeth/","Concerned Canadian theme: Online safety","Add as one of the clearest public-facing safety questions.",captured
privacy-surveillance-pricing,Privacy and personal data,Who gets to use my personal data?,Concerned Canadian,"Protecting Canadians and safeguarding democracy",Strong,Open,Official promise plus critique,"The strategy promises modernized privacy law, protection for children's data, and action on surveillance pricing, but the legal text and enforcement model are still pending.",can-strategy-privacy-online-safety,"https://www.pm.gc.ca/en/news/news-releases/2026/06/04/prime-minister-carney-launches-ai-all-canadas-new-national-artificial | https://betakit.com/canadas-ai-strategy-promises-to-protect-citizens-critics-say-it-still-lacks-teeth/","Concerned Canadian theme: Privacy","Track future privacy legislation when tabled.",captured
jobs-displacement-gap,Jobs and displacement,Will AI create better jobs or replace the jobs people need?,Future Canadian; Student / Future Worker; Workplace AI Adopter,"Empowering Canadians; Powering AI adoption",Light,Open,Critique,"The strategy highlights job creation and training, but coverage and opposition voices note the lack of clear job-loss estimates and worker protection details.",can-strategy-workforce,"https://globalnews.ca/news/11889388/canada-ai-strategy-release/ | https://halifax.citynews.ca/2026/06/04/quick-quotes-how-business-labour-and-others-are-reacting-to-canadas-ai-strategy/","Future Canadian and Workplace themes","Add a 'promise vs missing number' treatment.",captured
youth-skills-study,Education and skills,What should I study?,Student / Future Worker,"Empowering Canadians",Strong,"Funded; Directional",Official promise,"The strategy funds AI literacy, student access to trusted AI agents, educator supports, and youth work placements, but definitions of trusted AI and actual curriculum choices need more detail.",can-strategy-literacy,"https://www.pm.gc.ca/en/news/news-releases/2026/06/04/prime-minister-carney-launches-ai-all-canadas-new-national-artificial | https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all","Student portal","Map to practical learning pathways without overclaiming job certainty.",captured
sme-adoption-practical-help,SME adoption,Can it help my business?,Small Business Owner,"Powering AI adoption",Strong,Funded,Official promise,"The strategy names SME barriers and points to BDC LIFT, the Regional AI Initiative, readiness tools, and adoption supports for small and medium-sized businesses.",can-strategy-sme-adoption,"https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all","Small Business portal","Turn programs into 'what help exists' and 'what is still vague'.",captured
local-delivery-layer,Local implementation,Who will help normal organizations use AI safely?,Small Business Owner; Workplace AI Adopter; Future Canadian,"Empowering Canadians; Powering AI adoption",Light,Open,Community view,"BC + AI argues national policy will fail without trusted local delivery: cohorts, credentials, practical governance artifacts, workflow design, and regional adoption intermediaries.",bc-ai-local-adoption,"https://bc-ai.ca/news/aligning-bc-ai-canada-ai-strategy-trusted-local-adoption/","Cross-persona implementation note","Use as an explainer sidebar: strategy vs delivery layer.",captured
public-service-ai,Government adoption,How does government AI affect services I rely on?,Future Canadian; Workplace AI Adopter,"Powering AI adoption; Protecting Canadians",Strong,"Funded; Directional",Official promise,"The strategy says government will be an anchor adopter and buyer of trusted Canadian AI to improve public services, but transparency, registry, procurement, and appeal paths need details.",can-strategy-public-service,"https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all","Future Canadian and Workplace themes","Add public-sector specific safeguards and open questions.",captured
health-mission,Health care,Will AI improve health care without putting patients at risk?,Future Canadian,"Powering AI adoption",Strong,Funded,Official promise,"The first AI Missions Program is health-focused, promising better diagnostics, patient care, and system efficiency, with funding aimed at improving health outcomes.",can-strategy-health-mission,"https://www.pm.gc.ca/en/news/news-releases/2026/06/04/prime-minister-carney-launches-ai-all-canadas-new-national-artificial | https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all","Future Canadian theme: Health care","Pair benefits with health data governance questions.",captured
real-economy-sectors,Real economy sectors,"Will AI help farms, mines, factories, energy, and transportation?",Future Canadian; Small Business Owner,"Powering AI adoption",Strong,Directional,Official promise,"The strategy identifies health, energy and natural resources, transportation, agriculture, and manufacturing and robotics as priority sectors, with examples in farming, mining, manufacturing, and logistics.",can-strategy-real-economy,"https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all","Future Canadian theme: Real economy","Use as prosperity section beyond office-work AI.",captured
scale-canadian-champions,Canadian champions,How do I scale my innovation?,AI Entrepreneur,"Scaling Canadian champions; Sovereign AI foundation",Strong,"Funded; Directional",Official promise,"The strategy promises growth capital, compute access, commercialization programs, IP support, procurement, and support for globally competitive Canadian AI firms.",can-strategy-capital,"https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all | https://betakit.com/canadas-ai-strategy-contains-2-3-billion-in-spending-few-details-on-new-privacy-regulations/","AI Entrepreneur portal","Convert into founder-facing path: capital, compute, customer, IP.",captured
government-as-stakeholder,Government equity and procurement,"If government picks AI winners, who benefits?",AI Entrepreneur; Future Canadian,"Scaling Canadian champions",Light,"Funded; Open",Critique,"BetaKit reports a shift from government as startup supporter to possible stakeholder and anchor customer. Critics want detail on selection criteria, incentives, conflicts, and public upside.",betakit-government-stakeholder,"https://betakit.com/canadas-ai-strategy-looks-to-shift-government-from-startup-supporter-to-stakeholder/","AI Entrepreneur and Future Canadian: Who benefits?","Add governance questions around public risk and private upside.",captured
foreign-platform-sovereignty,Sovereignty and foreign dependency,Will Canadian data and companies be controlled from somewhere else?,Future Canadian; AI Entrepreneur,"Sovereign AI foundation; Trusted partnerships",Strong,Directional,Official promise plus media framing,"The AP and federal strategy emphasize foreign platform dependency, cloud concentration, Canadian data exposure, and the need for domestic leverage.",can-strategy-sovereign-compute,"https://apnews.com/article/canada-carney-artificial-intelligence-d8dfba818b84ccf5947f941731829254 | https://globalnews.ca/news/11889388/canada-ai-strategy-release/","Future Canadian theme: Sovereignty","Make this a plain-language sovereignty card.",captured
sovereign-ai-for-whom,Sovereignty accountability,Sovereign for whom?,Future Canadian; Concerned Canadian; AI Entrepreneur,"Sovereign AI foundation",Light,Open,Community critique,"Kris Krug and BC + AI argue sovereign AI should mean public-interest access, host-Nation governance, transparent power allocation, community benefits, and accountability, not just Canadian-sited data centres.",bc-ai-sovereign-for-whom,"https://bc-ai.ca/news/sovereign-ai-for-whom/ | https://kriskrug.co/2026/06/04/canada-ai-for-all-strategy-skeptical-guide/","Future Canadian theme: Who benefits?","Use as the main accountability lens for compute.",captured
data-centre-booster,Data centres - booster case,Can Canadian compute create jobs and keep data here?,Future Canadian; AI Entrepreneur,"Sovereign AI foundation",Strong,"Funded; Directional",Industry and ecosystem support,"TELUS and Vancouver Tech Journal emphasize 60000+ GPUs, 150 MW by 2032, 98% renewable power, closed-loop cooling, heat recovery, lower water use, and large economic value.",telus-bc-cluster,"https://www.telus.com/en/about/news-and-events/media-releases/TELUS-and-Government-of-Canada-advance-work-to-scale-Canadas-sovereign-AI-infrastructure | https://vantechjournal.com/p/sovereign-ai-data-centre-cluster-coming-to-bc-as-telus-and-ottawa-advance-major-infrastructure-deal","Future Canadian theme: Infrastructure promise","Pair with skeptic row so the app is balanced.",captured
data-centre-skeptic,Data centres - local impacts,"Who pays for the power, water, heat, land, and noise?",Future Canadian; Concerned Canadian,"Sovereign AI foundation; Protecting Canadians",Light,Open,Local critique,"CityNews, The Tyee, and BC Greens surface concerns about water, electricity, grid strain, heat, noise, local consent, watershed protection, and whether municipalities can regulate data centres properly.",bc-data-centre-local-critique,"https://vancouver.citynews.ca/2026/05/23/hundreds-march-downtown-vancouver-against-ai-data-centres/ | https://thetyee.ca/News/2026/05/25/Questions-AI-Data-Centres-Vancouver/ | https://bcgreens.ca/emily-lowan-supports-opposition-to-nanaimo-data-centre-continues-calls-for-moratorium-at-press-conference/","Future Canadian and Concerned Canadian infrastructure detail","Create side-by-side 'claimed benefits / unanswered local questions'.",captured
creator-copyright-gap,Creator rights and copyright,Will it respect what I create?,Canadian Creator; Future Canadian,"Empowering Canadians; Protecting Canadians",Quiet,Open,Critique,"News Media Canada and Krug note that copyright is missing or underdeveloped, especially around journalism, artists, educators, Indigenous cultural material, consent, compensation, and provenance.",can-strategy-culture-inclusion,"https://halifax.citynews.ca/2026/06/04/quick-quotes-how-business-labour-and-others-are-reacting-to-canadas-ai-strategy/ | https://kriskrug.co/2026/06/04/canada-ai-for-all-strategy-skeptical-guide/","Potential creator section; cross-cutting gap","Decide whether creator returns as persona or appears as issue module.",captured
indigenous-data-governance,Indigenous data and host Nations,"Who controls Indigenous data, culture, land, and local infrastructure decisions?",Future Canadian; Concerned Canadian,"Empowering Canadians; Sovereign AI foundation; Trusted partnerships",Light,Open,Critique plus official promise,"The strategy promises Indigenous-led AI initiatives, but local commentary asks for host-Nation governance and contract-level participation around data, compute, culture, and land-based infrastructure.",can-strategy-indigenous,"https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all | https://bc-ai.ca/news/sovereign-ai-for-whom/","Cross-cutting accountability theme","Do not reduce to symbolism; capture governance mechanisms.",captured
consultation-legitimacy,Consultation and process,Did the public really shape this strategy?,Concerned Canadian; Future Canadian,"All six pillars",Light,Open,Critique,"Blair Attard-Frost argues the consultation was rushed and methodologically opaque, including unclear LLM use in summarizing submissions and unresolved questions around data handling and validation.",betakit-consultation-critique,"https://betakit.com/canadas-new-ai-strategy-is-off-to-a-bad-start/","Receipts / how strategy was made","Add 'how this was made' explainer if app expands.",captured
open-source-choice,Open source and choice,Will Canada have open AI options instead of only big vendors?,AI Entrepreneur; Small Business Owner; Future Canadian,"Trusted partnerships; Sovereign AI foundation",Strong,Directional,Official promise plus ecosystem support,"The strategy supports open-source AI as a way to reduce vendor lock-in, lower costs, improve local adaptation, and offer alternatives to foreign proprietary platforms. Mozilla welcomed the direction.",can-strategy-open-source,"https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all | https://halifax.citynews.ca/2026/06/04/quick-quotes-how-business-labour-and-others-are-reacting-to-canadas-ai-strategy/","AI Entrepreneur and SME themes","Clarify what concrete programs support open-source adoption.",captured
eu-comparator-hard-rules,Comparator - EU,How does Canada compare with places that have hard AI rules?,All personas,"Protecting Canadians and safeguarding democracy",Quiet,Hard,Comparator,"The EU AI Act is a binding risk-based framework with obligations for high-risk AI, transparency duties for chatbots and deepfakes, and GPAI copyright-related disclosure requirements.",eu-ai-act-high-risk,"https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai | https://digital-strategy.ec.europa.eu/en/factpages/general-purpose-ai-obligations-under-ai-act","Comparator layer","Use for 'Canada: directional; EU: hard law' comparisons.",captured
singapore-comparator-playbooks,Comparator - Singapore,What can Canada learn from practical AI governance playbooks?,Small Business Owner; Workplace AI Adopter; AI Entrepreneur,"Empowering Canadians; Powering AI adoption; Protecting Canadians",Quiet,Directional,Comparator,"Singapore pairs national AI ambition with practical governance playbooks and implementation tools that help organizations operationalize responsible AI.",singapore-governance-playbook,"https://www.imda.gov.sg/resources/press-releases-factsheets-and-speeches/factsheets/2024/gen-ai-and-digital-foss-ai-governance-playbook | https://file.go.gov.sg/nais2023.pdf","Comparator layer","Use for practical adoption/governance design examples.",captured
