input_id,input_group,input_count_context,consultation_focus_area,input_theme,input_summary,source_url,source_section,primary_personas,pillars,final_strategy_response,coverage_level,policy_force,related_perspective_ids,app_use,gap_to_track,status
input-overview-public-scale,Public consultation,"Over 11300 participants; over 64600 responses to 26 questions",Engagement overview,Public participation scale,"ISED says the 30-day consultation received input from more than 11300 respondents and was the largest public consultation in ISED history.",https://ised-isde.canada.ca/site/ised/en/public-consultations/engagements-canadas-next-ai-strategy-summary-inputs,Engagement overview,All personas,All six pillars,"The final strategy cites broad engagement but does not expose granular public response data inside the strategy itself.",Light,Directional,consultation-legitimacy,"How this was made; credibility context","Need link to Open Government dataset and task-force reports when imported.",captured
input-overview-task-force-scale,Task Force reports,"Official summary says Task Force members delivered 32 reports; Annex B lists members by focus area",Engagement overview,Expert participation scale,"Minister Solomon named an AI Strategy Task Force from academia, industry, think tanks, NGOs, government-adjacent and other expert communities.",https://ised-isde.canada.ca/site/ised/en/public-consultations/engagements-canadas-next-ai-strategy-summary-inputs,Annex B: Task Force members,All personas,All six pillars,"The final strategy reflects many task-force themes, especially adoption, sovereign infrastructure, scaling champions, and trust.",Light,Directional,consultation-legitimacy,"How experts shaped the strategy","Confirm exact member/report count from Open Government package before public copy.",captured
input-ai-analysis-method,Consultation methodology,"Public responses and Task Force reports analyzed with SimpleSurvey plus LLM classification pipeline",Engagement overview,AI used to analyze AI consultation,"ISED used NLP and LLMs including Cohere, OpenAI, Anthropic, and Google models, with human validation and external methodology feedback.",https://ised-isde.canada.ca/site/ised/en/public-consultations/engagements-canadas-next-ai-strategy-summary-inputs,Use of AI in the engagement analysis,Concerned Canadian; Future Canadian,Protecting Canadians and safeguarding democracy,"The final strategy does not make the methodology a central public-facing accountability feature.",Light,Open,consultation-legitimacy,"Trust/consultation explainer","Track whether dataset, prompts, taxonomy, validation process are available.",captured
input-public-talent-research,Public consultation,Online consultation,Research and talent,Talent as national asset,"Respondents called for talent attraction, retention, scholarships, immigration reforms, academia-industry-government links, and responsible governance.",https://ised-isde.canada.ca/site/ised/en/public-consultations/engagements-canadas-next-ai-strategy-summary-inputs,Online consultation - Research and talent,Student / Future Worker; AI Entrepreneur,Empowering Canadians,"The strategy answers with literacy, training, youth placements, institutes, and talent supports, but less detail on immigration and compensation.",Strong,"Funded; Directional",youth-skills-study,"Student topic; talent pipeline receipt","Separate advanced AI talent from broad public literacy.",captured
input-public-adoption,Public consultation,Online consultation,AI adoption across industry and governments,Move beyond pilots safely,"Respondents wanted real-world adoption in health care, agriculture, public services, productivity, and public education, with warnings about premature deployment, privacy, environmental harm, and job displacement.",https://ised-isde.canada.ca/site/ised/en/public-consultations/engagements-canadas-next-ai-strategy-summary-inputs,Online consultation - AI adoption across industry and governments,"Small Business Owner; Workplace AI Adopter; Future Canadian","Powering AI adoption; Protecting Canadians","The strategy answers strongly on adoption programs and missions, but safeguards and sector standards remain less concrete.",Strong,"Funded; Open","sme-adoption-practical-help; health-mission; jobs-displacement-gap","SME/workplace/Future Canadian topics","Track sector-specific standards and measurement details.",captured
input-public-commercialization,Public consultation,Online consultation,Commercialization of AI,Keep IP and companies in Canada,"Respondents wanted grants, tax credits, investor incentives, public funding, Canadian ownership of IP/data, and protections for creative industries.",https://ised-isde.canada.ca/site/ised/en/public-consultations/engagements-canadas-next-ai-strategy-summary-inputs,Online consultation - Commercialization of AI,AI Entrepreneur; Canadian Creator,"Scaling Canadian champions; Sovereign AI foundation; Empowering Canadians","The strategy answers with commercialization, IP support, capital, procurement and compute, but creator compensation/copyright is still open.",Strong,"Funded; Open","scale-canadian-champions; creator-copyright-gap","AI Entrepreneur; creator/copyright gap","Track copyright and IP-retention mechanisms.",captured
input-public-champions,Public consultation,Online consultation,Scaling champions and attracting investments,Sustainable scaling over hype,"Respondents wanted tailored growth supports, mentorship, government procurement, capital, domestic market creation, and caution around AI bubbles.",https://ised-isde.canada.ca/site/ised/en/public-consultations/engagements-canadas-next-ai-strategy-summary-inputs,Online consultation - Scaling champions and attracting investments,AI Entrepreneur,Scaling Canadian champions,"The strategy strongly reflects this with champion-scaling, government as anchor customer, compute and capital, but implementation criteria remain open.",Strong,"Funded; Open","scale-canadian-champions; government-as-stakeholder","AI Entrepreneur topic","Track who qualifies, what public gets back, and procurement rules.",captured
input-public-trust,Public consultation,Online consultation,Safe AI systems and public trust,"Audits, disclosure, penalties","Respondents called for risk-based certification, independent audits, clear AI-use disclosure, oversight bodies, penalties for non-compliance, public education, and AI literacy.",https://ised-isde.canada.ca/site/ised/en/public-consultations/engagements-canadas-next-ai-strategy-summary-inputs,Online consultation - Safe AI systems and public trust,Concerned Canadian,"Protecting Canadians and safeguarding democracy","The strategy names trust, safety institute, transparency, watermarking and future laws, but enforceable obligations are mostly pending.",Strong,Open,"trust-governance-gap; children-deepfakes-online-safety","Concerned Canadian trust topic","Track hard-law follow-through and enforcement authority.",captured
input-public-education,Public consultation,Online consultation,Education and skills,Broad literacy plus advanced skills,"Respondents wanted K-12 and post-secondary AI literacy, stackable credentials, lifelong learning, workplace training, critical thinking, ethics, and equitable access.",https://ised-isde.canada.ca/site/ised/en/public-consultations/engagements-canadas-next-ai-strategy-summary-inputs,Online consultation - Education and skills,Student / Future Worker; Workplace AI Adopter,"Empowering Canadians","The strategy answers with AI literacy, learning kits, educator support, student agents, and worker training, but curriculum execution depends on institutions and provinces.",Strong,"Funded; Directional",youth-skills-study,"Student and workplace topics","Track provincial/institutional delivery.",captured
input-public-infrastructure,Public consultation,Online consultation,Infrastructure,Sovereign and sustainable infrastructure,"Respondents wanted domestic compute, shared data resources, connectivity, Canadian-controlled infrastructure, and mitigation of energy and water impacts.",https://ised-isde.canada.ca/site/ised/en/public-consultations/engagements-canadas-next-ai-strategy-summary-inputs,Online consultation - Infrastructure,"Future Canadian; AI Entrepreneur; Concerned Canadian",Sovereign AI foundation,"The strategy strongly answers compute and sovereignty, but local energy, water, permitting, and community benefit details remain open.",Strong,"Funded; Open","foreign-platform-sovereignty; data-centre-booster; data-centre-skeptic","Infrastructure promise vs local concern","Track environmental standards and public-benefit rules.",captured
